App ID,App Name,App Size,App Languages,App Category,App Age Rating,Recommended IDs,Parent ID
1362944225,"IPLEX Image Share
 4+",3 MB,"English, Czech, French, German, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1638237221, 6453639083, 1407706280, 1209745044, 990501167, 1540023976, 1275018170]","[1335052501, 1335052501]"
1335052501,"Ai Scope
 4+",8.6 MB,English,Photo & Video,4+,"[1387388358, 1407706280, 1484428568, 1636236310, 6476429895, 1362944225, 1487751011, 6453639083, 918442624, 1560984586]","[1335052501, 1593179741, 6443516223]"
918442624,"DinoConnect
 4+",4.2 MB,English,Photo & Video,4+,"[898718691, 1552673366, 701290091, 792577826, 1605729220, 1543367886, 1446207192, 1524787428]",[1335052501]
1407706280,"finder borescope
 4+",41.5 MB,"English, French, German, Italian, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1387388358, 1484428568, 1636236310, 1335052501, 1362944225, 6453639083, 1209745044, 1540023976, 1228996585, 1563218359]","[1335052501, 1593179741, 6443516223]"
1228996585,"wifiImage
 4+",65.4 MB,"English, French, German, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1115496885, 1116310723, 1373182041, 1336911185, 1209745044, 1407706280, 6453639083, 1486562403, 990501167, 1342541562]",[1335052501]
1636236310,"AllScope2
 4+",22.2 MB,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Health & Fitness,4+,"[1387388358, 1407706280, 1484428568, 1335052501, 1593007755, 6473672621, 1633406895, 1501630907, 6446705377, 1368396053]","[1335052501, 1407706280, 1593179741]"
6453639083,"CamX - USB Camera
 4+",14.1 MB,"Arabic, Danish, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Photo & Video,4+,"[1577082996, 1577082754, 1563218359, 6476429895, 1362944225, 1407706280, 6443441166, 6450313385]","[1335052501, 1407706280]"
1484428568,"AllScope
 4+",14 MB,"English, French, German, Japanese, Korean, Russian, Simplified Chinese, Spanish, Traditional Chinese",Health & Fitness,4+,"[1387388358, 1407706280, 1636236310, 1335052501, 1488583394, 650291528, 972314631, 485247638, 1441094593, 1358813934]","[1335052501, 1407706280, 6443516223]"
1540023976,"Smart Endoscope
 17+",129.7 MB,English,Photo & Video,17+,"[1694634756, 6462408151, 6466558694, 1342541562, 1297887877, 1466598215, 6453639083, 1232126462, 1362944225]",[1335052501]
6476429895,"USB Camera to NDI
 4+",29 MB,English,Photo & Video,4+,"[1581209934, 1597816542, 1581209932, 1644447464, 1581278019, 6471483473, 1597412294, 6453639083, 6473455859, 6499216448, 6456888175, 1571995248, 6453359966]",[1407706280]
1209745044,"Mo-View
 4+",4.8 MB,"English, Simplified Chinese",Photo & Video,4+,"[1335052500, 1342541562, 1377044388, 1527380496, 1617242821, 1669447308, 1184106991, 1228996585, 1362944225, 1407706280, 6453639083, 1516239264, 990501167]",[1407706280]
1487751011,"Feiyu Cam
 4+",141.5 MB,"English, Czech, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese",Photo & Video,4+,"[1131450408, 1170606381, 1568214103, 1327620365, 1131450409, 1468057679, 1523951807, 1441639746, 6443441166, 6443398815, 957334044, 1599659331, 1532572439]",[1407706280]
1563218359,"USB Camera for Detail on Mac
 4+",33 MB,English,Photo & Video,4+,"[1563218361, 1673518618, 6447528640, 6453639083, 964565026, 1261046276, 1523677599, 6476429895, 661488661]",[1407706280]
1560984586,"Video Compressor - Shrink Vids
 4+",27.4 MB,"English, Portuguese, Simplified Chinese, Spanish",Photo & Video,4+,"[867175889, 6460934979, 1457115603, 1486681436, 1552382561, 1659688614, 1596786737, 1528281985, 997699744, 1135183644, 1520371417, 1131513826, 1536338554]",[1407706280]
1673195733,"??????????????????????????????-????????????????????????????????????????????????????????????????
 4+",138.2 MB,"English, Simplified Chinese",Photo & Video,4+,"[1656366234, 6450207849, 6444717777, 6479521575, 1494274513, 1566268590, 1598878022, 6450213378, 1557441859, 1456342930]",[6450207849]
6446313713,"????????????????????????????????????-??????????????????????????????????????????????????????????????????????
 4+",42.9 MB,English,Productivity,4+,"[1665800526, 6476250842, 6450207849, 1530785245, 1138160651, 1545141360, 1672911248]",[6450207849]
6463845482,"???????????????????????????????????-?????????????????????????????????????????????????????????????????????????????????
 4+",46.8 MB,English,Productivity,4+,"[1700504529, 6475661058, 6471653750, 6450207849, 1595026652, 715478161, 1616842530]",[6450207849]
6475661058,"????????????????????????-????????????????????????????????????????????????????????????????????????????
 4+",22.5 MB,English,Productivity,4+,"[1707476945, 6463845482, 6471653750, 1595026652, 6450207849, 1616842530, 1576485569]",[6450207849]
6479521575,"??????????????????????????????-????????????????????????????????????????????????????? ??????????????????AI??????????????????????
 4+",42.2 MB,English,Reference,4+,"[1656366234, 6450207849, 1673195733, 6444717777, 6448814377, 1531821672, 1590365366, 6470903274, 6448633920, 1563892793]",[6450207849]
6444717777,"SoulArt - AI Art Generator
 9+",98.4 MB,"English, Simplified Chinese, Traditional Chinese",Graphics & Design,9+,"[1656366234, 6450207849, 1673195733, 6479521575, 6444488299, 6444312823, 6449664844, 1661289699, 6444852885, 6444379224]",[6450207849]
